name,latitude_deg,longitude_deg,iso_country
Honiara International Airport,-9.428,160.054993,Solomon Islands
Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,Papua New Guinea
Keflavik International Airport,63.985001,-22.6056,Iceland
(Duplicate)Toronto Lester B. Pearson International Airport,43.680585,-79.611841,Canada
(Mislocated duplicate of MRLB) LIR,10.229845,-85.539551,Costa Rica
Edmonton International Airport,53.3097,-113.580002,Canada
Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,Canada
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,Canada
Quebec Jean Lesage International Airport,46.7911,-71.393303,Canada
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,Canada
Vancouver International Airport,49.193901062,-123.183998108,Canada
Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,Canada
Calgary International Airport,51.118822,-114.009933,Canada
St. John's International Airport,47.618599,-52.7519,Canada
Toronto Lester B. Pearson International Airport,43.6772,-79.6306,Canada
Houari Boumediene Airport,36.693886,3.214531,Algeria
Kotoka International Airport,5.605189800262451,-0.1667860001325607,Ghana
Nnamdi Azikiwe International Airport,9.00679,7.26317,Nigeria
Murtala Muhammed International Airport,6.57737,3.32116,Nigeria
Diori Hamani International Airport,13.4815,2.18361,Niger
Tunis Carthage International Airport,36.851002,10.2272,Tunisia
Brussels Airport,50.901402,4.48444,Belgium
Berlin Brandenburg Airport,52.362247,13.500672,Germany
Frankfurt Airport,50.030241,8.561096,Germany
Hamburg Helmut Schmidt Airport,53.630402,9.98823,Germany
Cologne Bonn Airport,50.865898,7.14274,Germany
Düsseldorf Airport,51.289501,6.76678,Germany
Munich Airport,48.353802,11.7861,Germany
Nuremberg Airport,49.498699,11.078056,Germany
Leipzig/Halle Airport,51.420657,12.232705,Germany
Stuttgart Airport,48.689899,9.22196,Germany
Hannover Airport,52.461102,9.68508,Germany
Lennart Meri Tallinn Airport,59.413246,24.83264,Estonia
Helsinki Vantaa Airport,60.318363,24.963341,Finland
Belfast International Airport,54.6575012207,-6.21582984924,United Kingdom
Birmingham Airport,52.453899,-1.74803,United Kingdom
Manchester Airport,53.349375,-2.279521,United Kingdom
London Luton Airport,51.874699,-0.368333,United Kingdom
London Gatwick Airport,51.148771,-0.192089,United Kingdom
London Heathrow Airport,51.4706,-0.461941,United Kingdom
Glasgow Airport,55.871899,-4.43306,United Kingdom
Edinburgh Airport,55.950145,-3.372288,United Kingdom
London Stansted Airport,51.884998,0.235,United Kingdom
Amsterdam Airport Schiphol,52.308601,4.76389,Netherlands
Eindhoven Airport,51.4500999451,5.37452983856,Netherlands
Dublin Airport,53.428713,-6.262121,Republic of Ireland
Shannon Airport,52.702,-8.92482,Republic of Ireland
Billund Airport,55.740335,9.157019,Denmark
Copenhagen Kastrup Airport,55.617900848389,12.656000137329,Denmark
Luxembourg-Findel International Airport,49.6233333,6.2044444,Luxembourg
"Bergen Airport, Flesland",60.2934,5.21814,Norway
"Oslo Airport, Gardermoen",60.193901,11.1004,Norway
"Tromsø Airport, Langnes",69.683296,18.9189,Norway
"Trondheim Airport, Værnes",63.457802,10.924,Norway
"Stavanger Airport, Sola",58.876701,5.63778,Norway
Gdańsk Lech Wałęsa Airport,54.377602,18.4662,Poland
Kraków John Paul II International Airport,50.077702,19.7848,Poland
Warsaw Chopin Airport,52.165699,20.9671,Poland
